qso_name, set, ra, dec, z_dlas, nhi_dlas
J005814+011530,KOD,14.5595768407,1.2585822763,2.0306,20.5973
J010311+131617,KOD,15.7961172220,13.2714990724,2.3110,21.4729
J013340+040059,KOD,23.4185765458,4.0138887663,"3.6903,3.7770,3.9909","20.6890,20.7297,19.7522"
J020346+113445,KOD,30.9443674011,11.5795006744,3.3911,21.2752
J020455+364917,KOD,31.2299775823,36.8216749850,2.4613,20.8009
J020944+051714,KOD,32.4362014150,5.2871674981,"3.6661,3.8630","20.5232,20.5475"
J021129+124110,KOD,32.8739089511,12.6904730997,"2.5920","21.1258"
J022554+005451,KOD,36.4804518773,0.9143345874,2.7108,21.5243
J031003-004645,KOD,47.5118687150,-0.7792198533,"1.7784","20.2518"
J033900-013318,KOD,54.7541604482,-1.5550524999,"3.0514","20.8329"
J034943-381031,KOD,57.4308051496,-38.1732845118,3.0241,20.8018
J064632+445116,KOD,101.6336589513,44.8546170351,"3.1226","19.5543"
J074521+473436,KOD,116.3399938439,47.5762282977,3.0184,20.6816
J074711+273903,KOD,116.7995770959,27.6538116293,"3.8968","20.4336"
J074749+443417,KOD,116.9598272214,44.5652838508,"4.0214","20.8345"
J080117+521034,KOD,120.3243428883,52.1769147397,"3.0431","20.2624"
J081435+502946,KOD,123.6469531348,50.4962282245,"3.7049","21.0828"
J082540+354414,KOD,126.4151612030,35.7368948379,3.6538,21.0857
J082619+314848,KOD,126.5842027569,31.8141726119,"2.8562,2.9113","19.6784,20.3124"
J082849+085854,KOD,127.2051188490,8.9817559312,2.0433,20.1615
J083102+335803,KOD,127.7607029064,33.9673670292,"2.3047","20.5040"
J083933+111207,KOD,129.8866460437,11.2015436958,"2.4679","20.5187"
J092914+282529,KOD,142.3111618368,28.4249776021,"3.2472","20.8026"
J093337+284532,KOD,143.4041619142,28.7592275472,3.2369,20.9279
J095309+523029,KOD,148.2876647036,52.5082550561,"1.7684","20.3850"
J095500-013000,KOD,148.7474573990,-1.5001325459,"4.0189","20.8058"
J095714+544017,KOD,149.3098735258,54.6747549951,2.4488,20.6014
J100841+362319,KOD,152.1712047053,36.3902825937,"2.7965,2.9465","20.9216,20.0851"
J101447+430030,KOD,153.6958722159,43.0046158267,2.9561,20.6844
J101939+524627,KOD,154.9141654845,52.7748935219,"2.0152","20.7315"
J102156+300140,KOD,155.4853709397,30.0278934824,2.9486,20.8469
J102410+060013,KOD,156.0422857289,6.0040323324,"1.8950","20.8508"
J103514+544040,KOD,158.8078746222,54.6760599107,"2.4583,2.6862,2.8459","20.0034,20.9251,19.8500"
J104213+062853,KOD,160.5584108021,6.4807542235,1.9326,20.6627
J111113-080402,KOD,167.8076390123,-8.0672146079,"3.4825,3.6053","20.1426,20.5243"
J115538+053050,KOD,178.9107858344,5.5132804102,"3.3203","20.8115"
J121117+042222,KOD,182.8235357373,4.3733078080,"2.3769","21.0250"
124924-023339,KOD,192.3543267064,-2.5617764912,1.7789,21.5264
J131040+542449,KOD,197.6677520717,54.4139173976,"1.8049","21.5453"
J131341+144140,KOD,198.4224535574,14.6978062069,"1.7808","20.9975"
J141719+413237,KOD,214.3303322802,41.5435823033,"1.9195","20.7489"
J143500+535953,KOD,218.7477517497,53.9980540672,2.3456,21.1430
J143916-015627,KOD,219.8177851068,-1.9410015982,2.0562,20.6034
J144331+272436,KOD,220.8810269806,27.4111830119,"4.2207","20.5097"
J144453+291905,KOD,221.2227985428,29.3181444665,2.4406,20.6055
J145408+511443,KOD,223.5403341334,51.2456646911,"3.2294,3.4037","20.2548,20.7208"
J145435+094100,KOD,223.6432029528,9.6863869030,"1.7866","20.7208"
J150932+111313,KOD,227.3827030839,11.2226087548,"2.0074","20.5005"
J151224+465233,KOD,228.1011245895,46.8765253514,"3.0849","20.5637"
J155556+480015,KOD,238.9867075422,48.0040798982,"3.1321","19.8668"
J155810-003120,KOD,239.5428685936,-0.5210868170,"2.6302,2.6976","19.9552,20.6760"
J162902+091322,KOD,247.2583693642,9.2202458791,1.8879,20.3850
J175603+574848,KOD,269.0147894721,57.8136611832,1.9591,21.8903
J175746+753916,KOD,269.4432455495,75.6544531777,"2.6243,2.9094","21.1281,20.1648"
J194455+770552,KOD,296.2243969792,77.0989084450,2.8429,20.5648
J203642-055300,KOD,309.1759104635,-5.8839781042,"2.2743","21.3206"
J221527-161132,KOD,333.8573583535,-16.1926131909,"3.6604","20.1232"
J223619+132620,KOD,339.0812444903,13.4384741929,"3.1523","20.3570"
J224145+122557,KOD,340.4387010104,12.4335235451,"2.4289","21.3685"
J231543+145606,KOD,348.9332423210,14.9375797915,"3.1371","20.2685"
J233446-090812,KOD,353.6960778112,-9.1362808972,3.0552,20.6646
J234352+141014,KOD,355.9693256250,14.1691915344,2.6818,20.7837
J234531+090906,KOD,356.3792011092,9.1514693504,"2.5868,2.6270","19.8475,19.4681"
J234628+124859,KOD,356.6178118799,12.8151159729,"2.4331","20.8986"
J234856-104131,KOD,357.2352029917,-10.6920583470,2.9960,20.7420
J235050+045507,KOD,357.7095765056,4.9185528089,"2.1322,2.2748","21.1869,21.1196"
PSSJ2344+0342_VIS,XQ,356.0127202930,3.7067570940,"3.8835,3.2200,3.8848","19.9000,21.3000,19.8819"
BRJ0415-4357_VIS,XQ,63.8132681794,-43.9641061551,"3.8080,3.8088,3.9144","20.5000,20.4397,19.6349"
SDSSJ095937.11+131215.4_VIS,XQ,149.9051584637,13.2049149588,"3.9130,","20.3980"
BRI1108-0747_VIS,XQ,167.8079079487,-8.0677663618,"3.6075","20.4352"
J2239536-055219_VIS,XQ,339.9734380840,-5.8726042680,"4.0805","20.6000"
PSSJ0211+1107_UVB,XQ,32.8337514565,11.1207208732,"3.5015","20.1425"
BRJ0006-6208_VIS,XQ,1.7150372322,-62.1335523612,"4.1460,3.7750,3.2030,3.7768,4.1448","19.8000,21.0000,20.9000,21.1815,19.8377"
J1621-0042_UVB,XQ,245.3210215814,-0.7147039674,"3.1050","20.4095"
PMNJ0100-2708_UVB,XQ,15.0519677128,-27.1478110055,3.2425,19.9631
BRI0952-0115_VIS,XQ,148.7500695493,-1.5023549713,"4.0138","20.9538"
J001306+000431,UVE,3.2755769648,0.0754977922,"2.0231","21.0876"
J223941-294954,UVE,339.9238711186,-29.8317264939,1.8247,19.8097
J124020+145535,UVE,190.0871202077,14.9265570761,"2.6337","20.3069"
J133941+054822,UVE,204.9247859236,5.8061388517,"2.5859","20.7815"
J020944+051713,UVE,32.4358680817,5.2871119425,"3.6662,3.8648","20.5241,20.4722"
J050112-015914,UVE,75.3032437724,-1.9872175166,"2.0404","21.3935"
J220852-194359,UVE,332.2169116372,-19.7332548130,"2.0826","20.3173"
J220852-194359,UVE,332.2169116372,-19.7332548130,"1.9210,2.0760,2.0826","20.6700,20.4400,20.3173"
J111113-080401,UVE,167.8073262821,-8.0671908062,"3.6080,3.4836","20.3700,20.2"
J211927-353740,UVE,319.8649954999,-35.6279221624,1.9957,20.2614
J234512-433814,UVE,356.3017904100,-43.6374195457,"2.6120","21.0000"
J234913-371259,UVE,357.3072894090,-37.2164194513,"3.6955","19.7882"
J000852-290043,UVE,2.2195800898,-29.0121412007,2.2555,20.5399
J000443-555044,UVE,1.1803351951,-55.8457246356,"1.8863","20.7745"
J031009-192207,UVE,47.5378289397,-19.3686642952,1.7876,19.7728
J133335+164903,UVE,203.3990788090,16.8177501246,"1.7712","21.5624"
J231359-370446,UVE,348.4986223516,-37.0794758014,"2.1816","20.8616"
J095500-013006,UVE,148.7504102160,-1.5018838602,"4.0179","20.7808"
J011453+031457,UVE,18.7218682956,3.2492493802,"2.4230","21.2000"
J224931-441730,UVE,342.3830396991,-44.2917263044,"1.8964","20.7475"
J005925-411043,UVE,14.8544988797,-41.1787232484,1.7216,20.4918
J003023-181956,UVE,7.5984122318,-18.3322239969,"2.3905","21.7720"
J010104-285801,UVE,15.2692886260,-28.9671398717,"2.6704","21.2643"
J044534-354704,UVE,71.3940799703,-35.7844677899,"2.4086","20.5580"
J045313-130555,UVE,73.3065362384,-13.0986343202,"2.0665","20.7446"
J021741-370059,UVE,34.4239564877,-37.0164711824,"2.4294,2.5144","20.7717,20.6483"
J225310-365815,UVE,343.2950387441,-36.9709484545,"2.7423","20.8094"
J103842-272912,UVE,159.6775330654,-27.4868290431,"2.7920","20.6500"
J010311+131617,UVE,15.7969505553,13.2715824058,"2.3079","21.5792"
J043255-355030,UVE,68.2302051488,-35.8418569151,"1.9454,1.9698","20.7381,20.3749"
J235702-004824,UVE,359.2605770496,-0.8066692656,"2.4790","20.4100"
J091613+070224,UVE,139.0581606167,7.0401166428,"2.6187","20.4947"
J095355-050418,UVE,148.4822433379,-5.0719116221,"3.8323,3.8580,4.2030","20.5279,20.6000,20.5500"
J162116-004250,UVE,245.3204935815,-0.7141150785,"3.1044","20.0"
J055246-363727,UVE,88.1924123132,-36.6243001103,1.9608,20.9268
J081634+144612,UVE,124.1432439053,14.7701171049,"3.2870",22.0
J144653+011355,UVE,221.7210354305,1.2321926524,2.0867,20.6587
J012517-001828,UVE,21.3214520048,-0.3080003449,"2.0094","20.3081"
J000815-095854,UVE,2.0638696272,-9.9817523271,"1.7680","20.8500"
J004216-333754,UVE,10.5685392287,-33.6319181377,"2.2275","20.7759"
J031115-172247,UVE,47.8132870537,-17.3798864906,3.7328,20.2384
J025634-401300,UVE,44.1416651483,-40.2167479642,"2.0454","20.6870"
J043403-435547,UVE,68.5132478552,-43.9298013378,"2.3001","21.1248"
J225719-100104,UVE,344.3293277918,-10.0179761491,"1.8356","20.6595"
J141217+091624,UVE,213.0720362871,9.2735268795,"2.4537,2.6686","20.6278,19.9649"
J064326-504112,UVE,100.8624537317,-50.6868552060,"2.6597","21.2413"
J094438+194111,UVE,146.1620364447,19.6865051777,2.6550,20.5600
J221527-161133,UVE,333.8636614233,-16.1925047043,"3.6626",20.1367
J124924-023339,UVE,192.3535767065,-2.5610264912,1.7810,21.4500
J223953-055220,UVE,339.9736190840,-5.8722264902,4.0790,20.5500
J020900-455026,UVE,32.2541248421,-45.8407491877,"2.3475","21.2615"
J033900-013317,UVE,54.7540354482,-1.5548580554,"3.0620,2.8385","21.2000,19.7203"
J115906+133737,UVE,179.7771616432,13.6271414381,"3.7244","19.7504"
J004435-262259,UVE,11.1488299049,-26.3832236335,2.5490,21.5
J080916+053941,UVE,122.3207437201,5.6616449117,"2.3190","20.3900"
J115944+011206,UVE,179.9367437548,1.2019192005,"1.9440,1.8890","21.8000,21.2161"
J094632+125147,UVE,146.6367443757,12.8630607067,"3.0114","20.1724"
J012550-535225,UVE,21.4617936207,-53.8736114411,"2.8380","21.2758"
J111119+133603,UVE,167.8295781506,13.6010591919,"3.2012","21.2571"
J233446-090812,UVE,353.6932861446,-9.1367253419,"3.0570","20.5091"
J104040-272437,UVE,160.1683663870,-27.4103013024,"2.2337","20.2538"
J030211-314030,UVE,45.5470804741,-31.6750533799,"2.1790","21.0000"
J143912+111740,UVE,219.8001614769,11.2945817370,2.4195,20.7423
J122607+173649,UVE,186.5299538071,17.6138629939,"2.4660",21.5
J103909-231326,UVE,159.7895751210,-23.2239957182,"2.7787","21.1756"
J005127-280433,UVE,12.8632051470,-28.0760845671,"2.0710,1.8876,2.0690","20.4500,20.4831,21.0343"
J083932+111206,UVE,129.8874522901,11.2018114181,"2.4650,2.4656","20.5800,20.7134"
J033025-495403,UVE,52.6050416773,-49.9009415879,"1.8930","21.3000"
J122848-010414,UVE,187.2008685305,-1.0706648517,"2.2630","20.6635"
J235057-005209,UVE,357.7411187212,-0.8694194104,"2.6150","21.5000"
J234451+343348,UVE,356.2135732874,34.5634971127,"2.9090","21.1000"
J024658-123630,UVE,41.7435782712,-12.6085259834,1.8633,19.7179
J211719-433424,UVE,319.3307043939,-43.5735332975,"1.9117","19.7481"
J013901-082444,UVE,24.7558278711,-8.4122222029,"2.6770","20.7000"
J033854-000521,UVE,54.7282019804,-0.0891636133,"2.7478","20.2936"
J034943-381030,UVE,57.4318309866,-38.1751633688,"3.0250","20.8300"
J022928-364357,UVE,37.3684563956,-36.7324986539,1.7306,20.1026
J040718-441013,UVE,61.8253316724,-44.1705240985,"2.5834","21.8771"
J233156-090802,UVE,352.9852861380,-9.1338920728,"2.1430","21.1500"
J112010-134625,UVE,170.0429507447,-13.7738576656,"3.3387","21.2643"
J115538+053050,UVE,178.9108275011,5.5140581880,"3.3270","21.0000"
J111350-153333,UVE,168.4608256050,-15.5594130842,"3.2650","21.3000"
J093509-333237,UVE,143.7884083387,-33.5437724726,"2.6820,","20.6000"
J115122+020426,UVE,177.8422438355,2.0739749563,"1.9690","21.2000"
J041656-284340,UVE,64.2366628703,-28.7280238982,"1.7190,1.7543","21.3000,19.6233"
J011504-302514,UVE,18.7702471897,-30.4208061702,"2.7020","20.5000"
J033244-445557,UVE,53.1837072958,-44.9325248672,2.4131,20.6211
J110855+120953,UVE,167.2310780139,12.1648092426,"3.3960","20.8392"
J124524-000938,UVE,191.3524519556,-0.1605819431,"1.8252","20.7337"
J134002+110630,UVE,205.0105781656,11.1083610648,"2.7960,2.5086","20.9500,20.2740"
J104252+011736,UVE,160.7179937379,1.2934764336,"2.2670","21.0"
J110325-264515,UVE,165.8553662480,-26.7543850869,1.8388,19.8101
J214159-441325,UVE,325.4978300124,-44.2238385476,"2.8552","21.1456"
J135646-110128,UVE,209.1954924585,-11.0245004898,"2.4983","20.7174"
J120550+020131,UVE,181.4590771699,2.0254190529,"1.7477","20.4149"
J044017-433308,UVE,70.0714976894,-43.5523567759,"2.3470","20.7800"
J013340+040059,UVE,23.4179515455,4.0165832107,"3.6920,3.7730,3.6948,3.7769,3.9966","20.6800,20.4200,20.7359,20.7315,19.8946"
J123437+075843,UVE,188.6564527915,7.9786961114,"2.3399","21.1401"
J223235+024755,UVE,338.1467017674,2.7988289296,"1.8640","21.2921"
J084424+124546,UVE,131.1009940306,12.7629224939,"2.3750","21.1000"
J144331+272436,UVE,220.8798299975,27.4101927379,"4.2240","20.9500"
J125316+114720,UVE,193.3170365498,11.7890567421,"2.9440","20.5251"
J111109+144238,UVE,167.7902032503,14.7106147508,"2.6000,2.5955","21.3500,21.3716"
J042353-261801,UVE,65.9747458923,-26.3002737581,"2.1570","20.8135"
J013754-270736,UVE,24.4772884196,-27.1267777880,"2.8000","21.2152"
J045523-421617,UVE,73.8459972440,-42.2714120604,2.3046,19.5037
J004508-291432,UVE,11.2854552841,-29.2423069527,"1.9360","20.5000"
J223813-324823,UVE,339.5555797419,-32.8065598550,2.7001,20.5307
J001602-001225,UVE,4.0099936594,-0.2069743573,"1.9733","21.0532"
J135334-031022,UVE,208.3947849694,-3.1728337384,"2.5600","20.5081"
J200324-325144,UVE,300.8503690682,-32.8624782641,"3.1814","20.5669"
